Channel 1,Channel 2,Channel 3,Channel 4
-55.29,-49.22,-6.07,-46.944
-55.44,-49.22,-6.22,-47.698
-55.58,-52.73,-2.85,-30.844
-55.72,-49.22,-6.51,-49.149
-55.87,-52.73,-3.13,-32.3
-56.01,-52.73,-3.28,-32.999
-56.16,-49.22,-6.94,-51.312
-56.3,-52.73,-3.57,-34.471
-56.44,-52.73,-3.71,-35.178
-56.59,-52.73,-3.85,-35.887
-56.73,-52.73,-4,-36.599
-56.88,-52.73,-4.14,-37.314
-57.02,-52.73,-4.29,-38.031
-57.16,-52.73,-4.43,-38.751
-57.31,-52.73,-4.57,-39.473
-57.45,-52.73,-4.72,-40.198
-57.6,-52.73,-4.86,-40.926
-57.74,-52.73,-5.01,-41.656
-57.88,-52.73,-5.15,-42.389
-58.03,-52.73,-5.29,-43.125
-58.17,-52.73,-5.44,-43.864
-58.32,-52.73,-5.58,-44.605
-58.46,-52.73,-5.73,-45.348
-58.6,-52.73,-5.87,-46.095
-58.75,-52.73,-6.01,-46.844
-58.89,-56.25,-2.64,-29.984
-59.04,-56.25,-2.79,-30.673
-59.18,-52.73,-6.45,-48.975
-59.32,-56.25,-3.07,-32.124
-59.47,-56.25,-3.22,-32.82
-59.61,-56.25,-3.36,-33.519
-59.76,-56.25,-3.51,-34.221
-59.9,-56.25,-3.65,-34.926
-60.04,-56.25,-3.79,-35.633
-60.19,-56.25,-3.94,-36.343
-60.33,-56.25,-4.08,-37.056
-60.48,-56.25,-4.23,-37.771
-60.62,-56.25,-4.37,-38.489
-60.76,-56.25,-4.51,-39.21
-60.91,-56.25,-4.66,-39.934
-61.05,-56.25,-4.8,-40.66
-61.2,-56.25,-4.95,-41.39
-61.34,-56.25,-5.09,-42.122
-61.48,-56.25,-5.23,-42.856
-61.63,-56.25,-5.38,-43.594
-61.77,-56.25,-5.52,-44.334
-61.92,-56.25,-5.67,-45.077
-62.06,-56.25,-5.81,-45.823
-62.2,-56.25,-5.95,-46.571
-62.35,-56.25,-6.1,-47.323
-62.49,-56.25,-6.24,-48.077
-62.64,-56.25,-6.39,-48.833
-62.78,-59.77,-3.01,-31.982
-62.92,-56.25,-6.67,-50.289
-63.07,-59.77,-3.3,-33.443
-63.21,-59.77,-3.45,-34.145
-63.36,-59.77,-3.59,-34.849
-63.5,-59.77,-3.73,-35.557
-63.64,-59.77,-3.88,-36.267
-63.79,-59.77,-4.02,-36.98
-63.93,-59.77,-4.17,-37.695
-64.08,-59.77,-4.31,-38.414
-64.22,-59.77,-4.45,-39.135
-64.36,-59.77,-4.6,-39.859
-64.51,-59.77,-4.74,-40.586
-64.65,-59.77,-4.89,-41.315
-64.8,-59.77,-5.03,-42.047
-64.94,-59.77,-5.17,-42.783
-65.08,-59.77,-5.32,-43.52
-65.23,-59.77,-5.46,-44.261
-65.37,-59.77,-5.61,-45.004
-65.52,-59.77,-5.75,-45.751
-65.66,-59.77,-5.89,-46.5
